,price,address,street,agency,irl,Living area,Rooms,interior,garden area,postcode,date,plot area,Year of construction,status,latitude,longitude,city,state,deal,url,link
12,1650.0,1073 CN Amsterdam (Oude Pijp),Apartment Sarphatipark,Hausing,/apartment-for-rent/amsterdam/0088bdff/sarphatipark,50,2,Upholstered,0.0,1073CN,2021-08-23,0,1903,Free,52.35470548333333,4.894130560000002,Amsterdam, Noord-Holland,3.1515151515151514,https://www.pararius.com/apartment-for-rent/amsterdam/0088bdff/sarphatipark,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/amsterdam/0088bdff/sarphatipark>Apartment Sarphatipark</a>
13,1500.0,1058 PC Amsterdam (Hoofddorppleinbuurt),Apartment Hoofddorpweg 30 I,Hollandsche Makelaardij,/apartment-for-rent/amsterdam/f0cf9c64/hoofddorpweg,54,2,Shell,0.0,1058PC,2021-08-23,0,1927,Free,52.35116033103448,4.850979444827585,Amsterdam, Noord-Holland,3.7333333333333334,https://www.pararius.com/apartment-for-rent/amsterdam/f0cf9c64/hoofddorpweg,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/amsterdam/f0cf9c64/hoofddorpweg>Apartment Hoofddorpweg 30 I</a>
14,1300.0,2353 TG Leiderdorp (Winkelhof),Apartment Obool 42,EasyMakelaars,/apartment-for-rent/leiderdorp/a0d86996/obool,60,2,Furnished,0.0,2353TG,2021-08-23,0,1978,Free,52.1626495452381,4.533729742857143,Leiderdorp, Zuid-Holland,4.769230769230769,https://www.pararius.com/apartment-for-rent/leiderdorp/a0d86996/obool,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/leiderdorp/a0d86996/obool>Apartment Obool 42</a>
15,1150.0,2511 AX Den Haag (Kortenbos),Apartment Schoolstraat 24 C,NN Vastgoedmanagement,/apartment-for-rent/den-haag/7bbf546f/schoolstraat,85,3,Shell,0.0,2511AX,2021-08-23,0,1900,Free,52.076536958157625,4.308338923983881,Den Haag, Zuid-Holland,7.6521739130434785,https://www.pararius.com/apartment-for-rent/den-haag/7bbf546f/schoolstraat,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/den-haag/7bbf546f/schoolstraat>Apartment Schoolstraat 24 C</a>
16,1795.0,3904 HS Veenendaal (Franse Gat),House De Clercqstraat 26,EHR Ede-Wageningen,/house-for-rent/veenendaal/9b688045/de-clercqstraat,125,6,Furnished,0.0,3904HS,2021-08-23,0,2002,Free,52.01507688484848,5.545267772727273,Veenendaal, Utrecht,7.298050139275766,https://www.pararius.com/house-for-rent/veenendaal/9b688045/de-clercqstraat,<a target='_blank' href=https://www.pararius.com/house-for-rent/veenendaal/9b688045/de-clercqstraat>House De Clercqstraat 26</a>
17,1595.0,3901 CT Veenendaal (Koopcentrum),Apartment Scheepjeshof 193,EHR Ede-Wageningen,/apartment-for-rent/veenendaal/39e75aa3/scheepjeshof,143,5,Furnished,0.0,3901CT,2021-08-23,0,1992,Free,52.02932773529411,5.555207194117648,Veenendaal, Utrecht,9.278996865203762,https://www.pararius.com/apartment-for-rent/veenendaal/39e75aa3/scheepjeshof,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/veenendaal/39e75aa3/scheepjeshof>Apartment Scheepjeshof 193</a>
18,1950.0,1188 AC Amstelveen (Hemellichamenbuurt),House Noorderkroon 28,Amstel Housing,/house-for-rent/amstelveen/5d9a9a9b/noorderkroon,120,5,Upholstered,0.0,1188AC,2021-08-23,120 m²,1900,Free,52.28316846470588,4.855783988235294,Amstelveen, Noord-Holland,6.410256410256411,https://www.pararius.com/house-for-rent/amstelveen/5d9a9a9b/noorderkroon,<a target='_blank' href=https://www.pararius.com/house-for-rent/amstelveen/5d9a9a9b/noorderkroon>House Noorderkroon 28</a>
19,950.0,5041 BD Tilburg (Theresia Midden),Apartment Veldhovenring,BVwonen,/apartment-for-rent/tilburg/e4fea778/veldhovenring,45,2,Upholstered,0.0,5041BD,2021-08-23,0,0,Free,51.5676484891892,5.085203051351351,Tilburg, Noord-Brabant,4.947368421052632,https://www.pararius.com/apartment-for-rent/tilburg/e4fea778/veldhovenring,<a target='_blank' href=https://www.pararius.com/apartment-for-rent/tilburg/e4fea778/veldhovenring>Apartment Veldhovenring</a>
20,895.0,2522 GV Den Haag (Laakkwartier-Oost),House Linnaeusstraat,070Wonen,/house-for-rent/den-haag/0ca7b1f4/linnaeusstraat,70,3,Upholstered,0.0,2522GV,2021-08-23,0,1932,Free,52.0580567,4.327191083333332,Den Haag, Zuid-Holland,8.156424581005586,https://www.pararius.com/house-for-rent/den-haag/0ca7b1f4/linnaeusstraat,<a target='_blank' href=https://www.pararius.com/house-for-rent/den-haag/0ca7b1f4/linnaeusstraat>House Linnaeusstraat</a>
21,445.0,4816 EC Breda (Doornbos-Linie),Room Hooilaan,Acuut Huren Breda,/room-for-rent/breda/feaaa0cc/hooilaan,13,1,Upholstered,0.0,4816EC,2021-08-23,0,0,Free,51.60151615652174,4.795162830434784,Noord, Breda,3.146067415730337,https://www.pararius.com/room-for-rent/breda/feaaa0cc/hooilaan,<a target='_blank' href=https://www.pararius.com/room-for-rent/breda/feaaa0cc/hooilaan>Room Hooilaan</a>
